

=== 2026-05-21T18:03:10 ===
F:\TFM experimento\training\.venv\Scripts\python.exe F:\TFM experimento\training\scripts\train_cls_hparams.py --data F:\TFM experimento\training\dataset\domain_mix_zenodo_plantdoc_pd5_umair_hard --model F:\TFM experimento\training\runs\classify\runs\domainmix_pd5_from_fieldaug_e25_e10\weights\best.pt --epochs 25 --imgsz 320 --batch 32 --workers 4 --device 0 --project runs/pareto --name p02_img320_lr5e4_wd5e4_augmed_e25 --optimizer AdamW --lr0 0.0005 --weight-decay 0.0005 --dropout 0.0 --freeze 0 --aug-profile medium --mixup 0.0 --cutmix 0.0
New https://pypi.org/project/ultralytics/8.4.52 available  Update with 'pip install -U ultralytics'
Ultralytics 8.4.50  Python-3.12.10 torch-2.12.0+cu126 CUDA:0 (NVIDIA GeForce RTX 3080, 10240MiB)
[34m[1mengine\trainer: [0magnostic_nms=False, amp=True, angle=1.0, augment=False, auto_augment=randaugment, batch=32, bgr=0.0, box=7.5, cache=False, cfg=None, classes=None, close_mosaic=10, cls=0.5, cls_pw=0.0, compile=False, conf=None, copy_paste=0.0, copy_paste_mode=flip, cos_lr=False, cutmix=0.0, data=F:\TFM experimento\training\dataset\domain_mix_zenodo_plantdoc_pd5_umair_hard, degrees=20, deterministic=True, device=0, dfl=1.5, dnn=False, dropout=0.0, dynamic=False, embed=None, end2end=None, epochs=25, erasing=0.25, exist_ok=False, fliplr=0.5, flipud=0.0, format=torchscript, fraction=1.0, freeze=None, half=False, hsv_h=0.035, hsv_s=0.65, hsv_v=0.55, imgsz=320, int8=False, iou=0.7, keras=False, kobj=1.0, line_width=None, lr0=0.0005, lrf=0.01, mask_ratio=4, max_det=300, mixup=0.0, mode=train, model=F:\TFM experimento\training\runs\classify\runs\domainmix_pd5_from_fieldaug_e25_e10\weights\best.pt, momentum=0.937, mosaic=1.0, multi_scale=0.0, name=p02_img320_lr5e4_wd5e4_augmed_e25, nbs=64, nms=False, opset=None, optimize=False, optimizer=AdamW, overlap_mask=True, patience=10, perspective=0.0008, plots=True, pose=12.0, pretrained=True, profile=False, project=runs/pareto, rect=False, resume=False, retina_masks=False, rle=1.0, save=True, save_conf=False, save_crop=False, save_dir=F:\TFM experimento\training\runs\classify\runs\pareto\p02_img320_lr5e4_wd5e4_augmed_e25, save_frames=False, save_json=False, save_period=-1, save_txt=False, scale=0.35, seed=0, shear=6, show=False, show_boxes=True, show_conf=True, show_labels=True, simplify=True, single_cls=False, source=None, split=val, stream_buffer=False, task=classify, time=None, tracker=botsort.yaml, translate=0.12, val=True, verbose=True, vid_stride=1, visualize=False, warmup_bias_lr=0.1, warmup_epochs=3.0, warmup_momentum=0.8, weight_decay=0.0005, workers=4, workspace=None
[34m[1mtrain:[0m F:\TFM experimento\training\dataset\domain_mix_zenodo_plantdoc_pd5_umair_hard\train... found 15125 images in 10 classes  
ERROR [34m[1mval:[0m F:\TFM experimento\training\dataset\domain_mix_zenodo_plantdoc_pd5_umair_hard\val... found 69 images in 8 classes (requires 10 classes, not 8)
[34m[1mtest:[0m None...

                   from  n    params  module                                       arguments                     
  0                  -1  1       464  ultralytics.nn.modules.conv.Conv             [3, 16, 3, 2]                 
  1                  -1  1      4672  ultralytics.nn.modules.conv.Conv             [16, 32, 3, 2]                
  2                  -1  1      7360  ultralytics.nn.modules.block.C2f             [32, 32, 1, True]             
  3                  -1  1     18560  ultralytics.nn.modules.conv.Conv             [32, 64, 3, 2]                
  4                  -1  2     49664  ultralytics.nn.modules.block.C2f             [64, 64, 2, True]             
  5                  -1  1     73984  ultralytics.nn.modules.conv.Conv             [64, 128, 3, 2]               
  6                  -1  2    197632  ultralytics.nn.modules.block.C2f             [128, 128, 2, True]           
  7                  -1  1    295424  ultralytics.nn.modules.conv.Conv             [128, 256, 3, 2]              
  8                  -1  1    460288  ultralytics.nn.modules.block.C2f             [256, 256, 1, True]           
  9                  -1  1    343050  ultralytics.nn.modules.head.Classify         [256, 10]                     
YOLOv8n-cls summary: 56 layers, 1,451,098 parameters, 1,451,098 gradients, 3.4 GFLOPs
Transferred 158/158 items from pretrained weights
[34m[1mAMP: [0mrunning Automatic Mixed Precision (AMP) checks...
[34m[1mAMP: [0mchecks passed 
[34m[1mtrain: [0mFast image access  (ping: 0.10.0 ms, read: 79.163.4 MB/s, size: 20.0 KB)

[K[34m[1mtrain: [0mScanning F:\TFM experimento\training\dataset\domain_mix_zenodo_plantdoc_pd5_umair_hard\train... 15125 images, 0 corrupt: 100% ━━━━━━━━━━━━ 15125/15125  0.0s
[34m[1mval: [0mFast image access  (ping: 0.10.0 ms, read: 432.5283.9 MB/s, size: 63.0 KB)

[K[34m[1mval: [0mScanning F:\TFM experimento\training\dataset\domain_mix_zenodo_plantdoc_pd5_umair_hard\val... 69 images, 0 corrupt: 100% ━━━━━━━━━━━━ 69/69  0.0s
[34m[1moptimizer:[0m AdamW(lr=0.0005, momentum=0.937) with parameter groups 26 weight(decay=0.0), 27 weight(decay=0.0005), 27 bias(decay=0.0)
Image sizes 320 train, 320 val
Using 4 dataloader workers
Logging results to [1mF:\TFM experimento\training\runs\classify\runs\pareto\p02_img320_lr5e4_wd5e4_augmed_e25[0m
Starting training for 25 epochs...

      Epoch    GPU_mem       loss  Instances       Size

[K       1/25     0.727G     0.3385         32        320: 0% ──────────── 0/473  1.1s
[K       1/25     0.811G     0.5719         32        320: 0% ──────────── 2/473 2.1it/s 1.4s<3:50
[K       1/25     0.811G     0.5878         32        320: 1% ──────────── 3/473 4.1it/s 1.5s<1:55
[K       1/25     0.811G     0.5499         32        320: 1% ──────────── 6/473 8.9it/s 1.6s<52.3s
[K       1/25     0.811G     0.5329         32        320: 2% ──────────── 8/473 11.6it/s 1.7s<40.1s
[K       1/25     0.811G     0.5006         32        320: 2% ──────────── 10/473 12.3it/s 1.9s<37.5s
[K       1/25     0.811G     0.4906         32        320: 3% ──────────── 13/473 15.2it/s 2.0s<30.3s
[K       1/25     0.811G     0.4967         32        320: 3% ──────────── 15/473 16.1it/s 2.1s<28.5s
[K       1/25     0.811G     0.4849         32        320: 4% ──────────── 17/473 16.6it/s 2.2s<27.5s
[K       1/25     0.811G     0.5028         32        320: 4% ╸─────────── 20/473 18.4it/s 2.4s<24.6s
[K       1/25     0.811G     0.5259         32        320: 5% ╸─────────── 22/473 16.2it/s 2.5s<27.8s
[K       1/25     0.811G     0.5358         32        320: 5% ╸─────────── 25/473 18.3it/s 2.7s<24.5s
[K       1/25     0.811G     0.5298         32        320: 5% ╸─────────── 26/473 13.7it/s 3.0s<32.6s
[K       1/25     0.811G     0.5285         32        320: 6% ╸─────────── 28/473 14.4it/s 3.1s<31.0s
[K       1/25     0.811G     0.5164         32        320: 6% ╸─────────── 30/473 15.4it/s 3.2s<28.8s
[K       1/25     0.811G     0.5094         32        320: 7% ╸─────────── 32/473 16.5it/s 3.4s<26.7s
[K       1/25     0.811G     0.5113         32        320: 7% ╸─────────── 34/473 14.1it/s 3.6s<31.2s
[K       1/25     0.811G     0.5271         32        320: 8% ╸─────────── 36/473 14.6it/s 3.7s<30.0s
[K       1/25     0.811G     0.5244         32        320: 8% ╸─────────── 38/473 11.4it/s 4.2s<38.0s
[K       1/25     0.811G     0.5213         32        320: 9% ━─────────── 41/473 13.3it/s 4.4s<32.4s
[K       1/25     0.811G     0.5188         32        320: 9% ━─────────── 42/473 11.5it/s 4.5s<37.6s
[K       1/25     0.811G     0.5212         32        320: 9% ━─────────── 44/473 13.3it/s 4.6s<32.3s
[K       1/25     0.811G     0.5186         32        320: 10% ━─────────── 46/473 13.3it/s 4.8s<32.1s
[K       1/25     0.811G     0.5274         32        320: 10% ━─────────── 47/473 10.9it/s 5.0s<39.1s
[K       1/25     0.811G     0.5222         32        320: 10% ━─────────── 49/473 13.5it/s 5.1s<31.4s
[K       1/25     0.811G     0.5196         32        320: 11% ━─────────── 51/473 10.9it/s 5.5s<38.8s
[K       1/25     0.811G     0.5195         32        320: 11% ━─────────── 53/473 12.6it/s 5.6s<33.4s
[K       1/25     0.811G     0.5225         32        320: 12% ━─────────── 55/473 11.7it/s 5.8s<35.7s
[K       1/25     0.811G     0.5191         32        320: 12% ━─────────── 57/473 12.5it/s 6.0s<33.2s
[K       1/25     0.811G     0.5116         32        320: 12% ━─────────── 59/473 10.1it/s 6.4s<40.9s
[K       1/25     0.811G     0.4995         32        320: 13% ━╸────────── 62/473 13.6it/s 6.5s<30.3s
[K       1/25     0.811G     0.4993         32        320: 13% ━╸────────── 63/473 10.1it/s 7.0s<40.6s
[K       1/25     0.811G     0.4983         32        320: 14% ━╸────────── 65/473 12.4it/s 7.1s<32.9s
[K       1/25     0.811G     0.4956         32        320: 14% ━╸────────── 67/473 10.9it/s 7.4s<37.4s
[K       1/25     0.811G     0.4928         32        320: 15% ━╸────────── 69/473 11.8it/s 7.6s<34.1s
[K       1/25     0.811G     0.4938         32        320: 15% ━╸────────── 71/473 10.8it/s 7.8s<37.1s
[K       1/25     0.811G     0.4885         32        320: 16% ━╸────────── 74/473 13.6it/s 7.9s<29.4s
[K       1/25     0.811G     0.4888         32        320: 16% ━╸────────── 75/473 12.2it/s 8.1s<32.6s
[K       1/25     0.811G     0.4835         32        320: 16% ━╸────────── 77/473 14.2it/s 8.2s<27.8s
[K       1/25     0.811G     0.4802         32        320: 17% ━━────────── 79/473 12.9it/s 8.4s<30.5s
[K       1/25     0.811G     0.4768         32        320: 17% ━━────────── 81/473 14.9it/s 8.5s<26.4s
[K       1/25     0.811G     0.4726         32        320: 18% ━━────────── 83/473 14.1it/s 8.6s<27.6s
[K       1/25     0.811G      0.473         32        320: 18% ━━────────── 85/473 14.7it/s 8.7s<26.3s
[K       1/25     0.811G     0.4696         32        320: 18% ━━────────── 87/473 13.2it/s 9.0s<29.1s
[K       1/25     0.811G     0.4682         32        320: 19% ━━────────── 90/473 17.3it/s 9.1s<22.2s
[K       1/25     0.811G     0.4652         32        320: 19% ━━────────── 91/473 13.0it/s 9.4s<29.4s
[K       1/25     0.811G     0.4653         32        320: 20% ━━────────── 93/473 13.6it/s 9.5s<27.9s
[K       1/25     0.811G     0.4632         32        320: 20% ━━────────── 95/473 12.0it/s 9.8s<31.5s
[K       1/25     0.811G     0.4622         32        320: 21% ━━────────── 97/473 13.8it/s 9.9s<27.2s
[K       1/25     0.811G     0.4618         32        320: 21% ━━╸───────── 99/473 13.7it/s 10.0s<27.3s
[K       1/25     0.811G     0.4633         32        320: 21% ━━╸───────── 101/473 14.1it/s 10.2s<26.4s
[K       1/25     0.811G     0.4611         32        320: 22% ━━╸───────── 103/473 13.8it/s 10.3s<26.7s
[K       1/25     0.811G     0.4602         32        320: 22% ━━╸───────── 104/473 12.6it/s 10.4s<29.3s
[K       1/25     0.811G     0.4598         32        320: 22% ━━╸───────── 105/473 11.2it/s 10.5s<32.9s
[K       1/25     0.811G     0.4593         32        320: 23% ━━╸───────── 107/473 12.8it/s 10.7s<28.7s
[K       1/25     0.811G     0.4571         32        320: 23% ━━╸───────── 108/473 11.7it/s 10.8s<31.2s
[K       1/25     0.811G     0.4549         32        320: 23% ━━╸───────── 109/473 10.6it/s 10.9s<34.5s
[K       1/25     0.811G      0.454         32        320: 23% ━━╸───────── 111/473 11.1it/s 11.1s<32.7s
[K       1/25     0.811G     0.4521         32        320: 24% ━━╸───────── 113/473 11.1it/s 11.2s<32.5s
[K       1/25     0.811G     0.4521         32        320: 24% ━━╸───────── 115/473 12.5it/s 11.4s<28.7s
[K       1/25     0.811G      0.452         32        320: 25% ━━╸───────── 116/473 10.8it/s 11.5s<33.1s
[K       1/25     0.811G     0.4506         32        320: 25% ━━╸───────── 117/473 8.9it/s 11.7s<40.0s
[K       1/25     0.811G     0.4509         32        320: 25% ━━━───────── 120/473 12.2it/s 11.9s<28.8s
[K       1/25     0.811G     0.4514         32        320: 26% ━━━───────── 121/473 11.3it/s 12.0s<31.2s
[K       1/25     0.811G     0.4478         32        320: 26% ━━━───────── 124/473 14.7it/s 12.1s<23.7s
[K       1/25     0.811G     0.4456         32        320: 26% ━━━───────── 125/473 11.5it/s 12.4s<30.4s
[K       1/25     0.811G      0.444         32        320: 27% ━━━───────── 127/473 11.6it/s 12.6s<29.9s
[K       1/25     0.811G      0.442         32        320: 27% ━━━───────── 129/473 11.9it/s 12.7s<28.8s
[K       1/25     0.811G     0.4417         32        320: 28% ━━━───────── 131/473 10.4it/s 13.0s<32.9s
[K       1/25     0.811G      0.441         32        320: 28% ━━━───────── 133/473 10.3it/s 13.2s<33.1s
[K       1/25     0.811G     0.4407         32        320: 29% ━━━───────── 135/473 11.0it/s 13.4s<30.6s
[K       1/25     0.811G     0.4393         32        320: 29% ━━━───────── 137/473 11.3it/s 13.5s<29.8s
[K       1/25     0.811G     0.4377         32        320: 30% ━━━╸──────── 140/473 14.3it/s 13.7s<23.3s
[K       1/25     0.811G     0.4385         32        320: 30% ━━━╸──────── 141/473 12.6it/s 13.8s<26.4s
[K       1/25     0.811G      0.436         32        320: 30% ━━━╸──────── 143/473 13.1it/s 13.9s<25.2s
[K       1/25     0.811G      0.434         32        320: 31% ━━━╸──────── 145/473 14.9it/s 14.0s<22.1s
[K       1/25     0.811G     0.4333         32        320: 31% ━━━╸──────── 147/473 14.5it/s 14.2s<22.5s
[K       1/25     0.811G     0.4323         32        320: 32% ━━━╸──────── 149/473 14.3it/s 14.3s<22.6s
[K       1/25     0.811G     0.4318         32        320: 32% ━━━╸──────── 151/473 14.8it/s 14.5s<21.7s
[K       1/25     0.811G     0.4311         32        320: 32% ━━━╸──────── 153/473 13.5it/s 14.6s<23.6s
[K       1/25     0.811G     0.4307         32        320: 33% ━━━╸──────── 155/473 14.8it/s 14.8s<21.4s
[K       1/25     0.811G     0.4297         32        320: 33% ━━━╸──────── 157/473 14.4it/s 14.9s<21.9s
[K       1/25     0.811G     0.4298         32        320: 34% ━━━━──────── 159/473 13.0it/s 15.1s<24.2s
[K       1/25     0.811G     0.4304         32        320: 34% ━━━━──────── 161/473 14.5it/s 15.2s<21.5s
[K       1/25     0.811G     0.4289         32        320: 34% ━━━━──────── 163/473 13.8it/s 15.4s<22.5s
[K       1/25     0.811G     0.4274         32        320: 35% ━━━━──────── 166/473 16.7it/s 15.5s<18.3s
[K       1/25     0.811G     0.4268         32        320: 35% ━━━━──────── 167/473 13.6it/s 15.7s<22.5s
[K       1/25     0.811G     0.4248         32        320: 36% ━━━━──────── 169/473 15.4it/s 15.8s<19.8s
[K       1/25     0.811G     0.4264         32        320: 36% ━━━━──────── 171/473 12.8it/s 16.1s<23.6s
[K       1/25     0.811G     0.4251         32        320: 37% ━━━━──────── 173/473 12.9it/s 16.2s<23.3s
[K       1/25     0.811G     0.4248         32        320: 37% ━━━━──────── 175/473 12.8it/s 16.4s<23.2s
[K       1/25     0.811G     0.4254         32        320: 37% ━━━━──────── 177/473 12.0it/s 16.6s<24.7s
[K       1/25     0.811G     0.4279         32        320: 38% ━━━━╸─────── 179/473 11.4it/s 16.8s<25.9s
[K       1/25     0.811G     0.4281         32        320: 38% ━━━━╸─────── 181/473 12.1it/s 16.9s<24.1s
[K       1/25     0.811G     0.4299         32        320: 39% ━━━━╸─────── 183/473 12.5it/s 17.1s<23.3s
[K       1/25     0.811G       0.43         32        320: 39% ━━━━╸─────── 185/473 11.9it/s 17.3s<24.3s
[K       1/25     0.811G      0.429         32        320: 40% ━━━━╸─────── 187/473 12.7it/s 17.4s<22.5s
[K       1/25     0.811G     0.4281         32        320: 40% ━━━━╸─────── 189/473 10.1it/s 17.9s<28.1s
[K       1/25     0.811G     0.4289         32        320: 40% ━━━━╸─────── 191/473 12.7it/s 18.0s<22.1s
[K       1/25     0.811G     0.4279         32        320: 41% ━━━━╸─────── 193/473 11.2it/s 18.3s<25.0s
[K       1/25     0.811G     0.4284         32        320: 41% ━━━━╸─────── 196/473 14.2it/s 18.4s<19.4s
[K       1/25     0.811G     0.4278         32        320: 42% ━━━━╸─────── 197/473 12.8it/s 18.5s<21.6s
[K       1/25     0.811G     0.4277         32        320: 42% ━━━━━─────── 200/473 14.4it/s 18.7s<18.9s
[K       1/25     0.811G     0.4273         32        320: 42% ━━━━━─────── 201/473 11.5it/s 18.9s<23.6s
[K       1/25     0.811G     0.4257         32        320: 43% ━━━━━─────── 203/473 13.8it/s 19.0s<19.5s
[K       1/25     0.811G     0.4254         32        320: 43% ━━━━━─────── 205/473 13.1it/s 19.2s<20.5s
[K       1/25     0.811G     0.4249         32        320: 44% ━━━━━─────── 207/473 13.3it/s 19.3s<20.0s
[K       1/25     0.811G     0.4251         32        320: 44% ━━━━━─────── 209/473 11.2it/s 19.6s<23.5s
[K       1/25     0.811G     0.4264         32        320: 45% ━━━━━─────── 211/473 13.2it/s 19.7s<19.8s
[K       1/25     0.811G     0.4267         32        320: 45% ━━━━━─────── 213/473 11.3it/s 20.0s<23.1s
[K       1/25     0.811G     0.4254         32        320: 45% ━━━━━─────── 215/473 13.5it/s 20.1s<19.1s
[K       1/25     0.811G     0.4235         32        320: 46% ━━━━━╸────── 217/473 12.8it/s 20.3s<20.0s
[K       1/25     0.811G      0.422         32        320: 46% ━━━━━╸────── 219/473 13.6it/s 20.5s<18.6s
[K       1/25     0.811G     0.4214         32        320: 47% ━━━━━╸────── 221/473 11.0it/s 20.9s<23.0s
[K       1/25     0.811G     0.4212         32        320: 47% ━━━━━╸────── 224/473 15.4it/s 21.0s<16.1s
[K       1/25     0.811G     0.4204         32        320: 48% ━━━━━╸────── 225/473 12.0it/s 21.2s<20.7s
[K       1/25     0.811G     0.4198         32        320: 48% ━━━━━╸────── 227/473 14.4it/s 21.3s<17.1s
[K       1/25     0.811G     0.4188         32        320: 48% ━━━━━╸────── 229/473 12.5it/s 21.6s<19.6s
[K       1/25     0.811G     0.4186         32        320: 49% ━━━━━╸────── 231/473 12.9it/s 21.7s<18.7s
[K       1/25     0.811G     0.4183         32        320: 49% ━━━━━╸────── 233/473 11.9it/s 22.0s<20.2s
[K       1/25     0.811G     0.4183         32        320: 50% ━━━━━╸────── 235/473 13.5it/s 22.1s<17.6s
[K       1/25     0.811G     0.4181         32        320: 50% ━━━━━━────── 237/473 11.2it/s 22.4s<21.0s
[K       1/25     0.811G     0.4188         32        320: 51% ━━━━━━────── 239/473 13.5it/s 22.5s<17.3s
[K       1/25     0.811G      0.418         32        320: 51% ━━━━━━────── 241/473 11.7it/s 22.8s<19.8s
